ncm_code,description,full_description,chapter,aec
0101.21.00,Reproductores de raza pura,"Caballos, asnos, mulos y burdéganos, vivos. > Reproductores de raza pura",01,0
0101.29.00,Los demás,"Caballos, asnos, mulos y burdéganos, vivos. > Los demás",01,2
0101.30.00,Asnos,"Caballos, asnos, mulos y burdéganos, vivos. > Asnos",01,4
0101.90.00,Los demás,"Caballos, asnos, mulos y burdéganos, vivos. > Los demás",01,4
0102.21.10,Preñadas o con cría al pie,Animales vivos de la especie bovina. > Reproductores de raza pura > Preñadas o con cría al pie,01,0
0102.21.90,Los demás,Animales vivos de la especie bovina. > Reproductores de raza pura > Los demás,01,0
0102.29.11,Preñadas o con cría al pie,Animales vivos de la especie bovina. > Los demás > Para reproducción > Preñadas o con cría al pie,01,2
0102.29.19,Los demás,Animales vivos de la especie bovina. > Los demás > Para reproducción,01,2
0102.29.90,Los demás,Animales vivos de la especie bovina. > Los demás,01,2
0102.31.10,Preñadas o con cría al pie,Animales vivos de la especie bovina. > Reproductores de raza pura > Preñadas o con cría al pie,01,0
0102.31.90,Los demás,Animales vivos de la especie bovina. > Reproductores de raza pura > Los demás,01,0
0102.39.11,Preñadas o con cría al pie,Animales vivos de la especie bovina. > Los demás > Para reproducción > Preñadas o con cría al pie,01,2
0102.39.19,Los demás,Animales vivos de la especie bovina. > Los demás > Para reproducción,01,2
0102.39.90,Los demás,Animales vivos de la especie bovina. > Los demás,01,2
0102.90.00,Los demás,Animales vivos de la especie bovina. > Los demás,01,0
0103.10.00,Reproductores de raza pura,Animales vivos de la especie porcina. > Reproductores de raza pura,01,0
0103.91.00,De peso inferior a 50 kg,Animales vivos de la especie porcina. > De peso inferior a 50 kg,01,2
0103.92.00,De peso superior o igual a 50 kg,Animales vivos de la especie porcina. > De peso superior o igual a 50 kg,01,2
0104.10.11,Preñadas o con cría al pie,Animales vivos de las especies ovina o caprina. > De la especie ovina > Reproductores de raza pura > Preñadas o con cría al pie,01,0
0104.10.19,Los demás,Animales vivos de las especies ovina o caprina. > De la especie ovina > Reproductores de raza pura > Los demás,01,0
0104.10.90,Los demás,Animales vivos de las especies ovina o caprina. > De la especie ovina > Los demás,01,2
0104.20.10,Reproductores de raza pura,Animales vivos de las especies ovina o caprina. > De la especie caprina > Reproductores de raza pura,01,0
0104.20.90,Los demás,Animales vivos de las especies ovina o caprina. > De la especie caprina > Los demás,01,2
0105.11.10,"De líneas puras o híbridas, para reproducción","Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos. > Aves de la especie Gallus domesticus > De líneas puras o híbridas, para reproducción",01,0
0105.11.90,Los demás,"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos. > Aves de la especie Gallus domesticus > Los demás",01,2
0105.12.00,Pavos (gallipavos),"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos. > Pavos (gallipavos)",01,2
0105.13.00,Patos,"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos. > Patos",01,2
0105.14.00,Gansos,"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos. > Gansos",01,2
0105.15.00,Pintadas,"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos. > Pintadas",01,2
0105.94.00,Aves de la especie Gallus domesticus,"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos. > Aves de la especie Gallus domesticus",01,4
0105.99.00,Los demás,"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos. > Los demás",01,4
0106.11.00,Primates,Los demás animales vivos. > Primates,01,4
0106.12.00,"Ballenas, delfines y marsopas (mamíferos del orden Cetacea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)","Los demás animales vivos. > Ballenas, delfines y marsopas (mamíferos del orden Cetacea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)",01,4
0106.13.00,Camellos y demás camélidos (Camelidae),Los demás animales vivos. > Camellos y demás camélidos (Camelidae),01,4
0106.14.00,Conejos y liebres,Los demás animales vivos. > Conejos y liebres,01,4
0106.19.00,Los demás,Los demás animales vivos. > Los demás,01,4
0106.20.00,Reptiles (incluidas las serpientes y tortugas de mar),Los demás animales vivos. > Reptiles (incluidas las serpientes y tortugas de mar),01,4
0106.31.00,Aves de rapiña,Los demás animales vivos. > Aves de rapiña,01,4
0106.32.00,"Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos)","Los demás animales vivos. > Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos)",01,4
0106.33.10,"Avestruces (Struthio camelus), para reproducción","Los demás animales vivos. > Avestruces; emúes (Dromaius novaehollandiae) > Avestruces (Struthio camelus), para reproducción",01,0
0106.33.90,Los demás,Los demás animales vivos. > Avestruces; emúes (Dromaius novaehollandiae) > Los demás,01,4
0106.39.00,Las demás,Los demás animales vivos. > Las demás,01,4
0106.41.00,Abejas,Los demás animales vivos. > Abejas,01,4
0106.49.00,Los demás,Los demás animales vivos. > Los demás,01,4
0106.90.00,Los demás,Los demás animales vivos. > Los demás,01,4
0201.10.00,En canales o medias canales,"Carne de animales de la especie bovina, fresca o refrigerada. > En canales o medias canales",02,10
0201.20.10,Cuartos delanteros,"Carne de animales de la especie bovina, fresca o refrigerada. > Los demás cortes (trozos) sin deshuesar > Cuartos delanteros",02,10
0201.20.20,Cuartos traseros,"Carne de animales de la especie bovina, fresca o refrigerada. > Los demás cortes (trozos) sin deshuesar > Cuartos traseros",02,10
0201.20.90,Los demás,"Carne de animales de la especie bovina, fresca o refrigerada. > Los demás cortes (trozos) sin deshuesar > Los demás",02,10
0201.30.00,Deshuesada,"Carne de animales de la especie bovina, fresca o refrigerada. > Deshuesada",02,12
0202.10.00,En canales o medias canales,"Carne de animales de la especie bovina, congelada. > En canales o medias canales",02,10
0202.20.10,Cuartos delanteros,"Carne de animales de la especie bovina, congelada. > Los demás cortes (trozos) sin deshuesar > Cuartos delanteros",02,10
0202.20.20,Cuartos traseros,"Carne de animales de la especie bovina, congelada. > Los demás cortes (trozos) sin deshuesar > Cuartos traseros",02,10
0202.20.90,Los demás,"Carne de animales de la especie bovina, congelada. > Los demás cortes (trozos) sin deshuesar > Los demás",02,10
0202.30.00,Deshuesada,"Carne de animales de la especie bovina, congelada. > Deshuesada",02,12
0203.11.00,En canales o medias canales,"Carne de animales de la especie porcina, fresca, refrigerada o congelada. > En canales o medias canales",02,10
0203.12.00,"Piernas, paletas, y sus trozos, sin deshuesar","Carne de animales de la especie porcina, fresca, refrigerada o congelada. > Piernas, paletas, y sus trozos, sin deshuesar",02,10
0203.19.00,Las demás,"Carne de animales de la especie porcina, fresca, refrigerada o congelada. > Las demás",02,10
0203.21.00,En canales o medias canales,"Carne de animales de la especie porcina, fresca, refrigerada o congelada. > En canales o medias canales",02,10
0203.22.00,"Piernas, paletas, y sus trozos, sin deshuesar","Carne de animales de la especie porcina, fresca, refrigerada o congelada. > Piernas, paletas, y sus trozos, sin deshuesar",02,10
0203.29.00,Las demás,"Carne de animales de la especie porcina, fresca, refrigerada o congelada. > Las demás",02,10
0204.10.00,"Canales o medias canales de cordero, frescas o refrigeradas","Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada. > Canales o medias canales de cordero, frescas o refrigeradas",02,10
0204.21.00,En canales o medias canales,"Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada. > En canales o medias canales",02,10
0204.22.00,Los demás cortes (trozos) sin deshuesar,"Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada. > Los demás cortes (trozos) sin deshuesar",02,10
0204.23.00,Deshuesadas,"Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada. > Deshuesadas",02,10
0204.30.00,"Canales o medias canales de cordero, congeladas","Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada. > Canales o medias canales de cordero, congeladas",02,10
0204.41.00,En canales o medias canales,"Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada. > En canales o medias canales",02,10
0204.42.00,Los demás cortes (trozos) sin deshuesar,"Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada. > Los demás cortes (trozos) sin deshuesar",02,10
0204.43.00,Deshuesadas,"Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada. > Deshuesadas",02,10
0204.50.00,Carne de animales de la especie caprina,"Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada. > Carne de animales de la especie caprina",02,10
0205.00.00,"Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada.","Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada.",02,10
0206.10.00,"De la especie bovina, frescos o refrigerados","Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados. > De la especie bovina, frescos o refrigerados",02,10
0206.21.00,Lenguas,"Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados. > Lenguas",02,10
0206.22.00,Hígados,"Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados. > Hígados",02,10
0206.29.10,Colas (rabos),"Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados. > Los demás > Colas (rabos)",02,10
0206.29.90,Los demás,"Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados. > Los demás",02,10
0206.30.00,"De la especie porcina, frescos o refrigerados","Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados. > De la especie porcina, frescos o refrigerados",02,10
0206.41.00,Hígados,"Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados. > Hígados",02,10
0206.49.00,Los demás,"Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados. > Los demás",02,10
0206.80.00,"Los demás, frescos o refrigerados","Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados. > Los demás, frescos o refrigerados",02,10
0206.90.00,"Los demás, congelados","Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados. > Los demás, congelados",02,10
0207.11.00,"Sin trocear, frescos o refrigerados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Sin trocear, frescos o refrigerados",02,10
0207.12.00,"Sin trocear, congelados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Sin trocear, congelados",02,10
0207.13.00,"Trozos y despojos, frescos o refrigerados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Trozos y despojos, frescos o refrigerados",02,10
0207.14.00,"Trozos y despojos, congelados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Trozos y despojos, congelados",02,10
0207.24.00,"Sin trocear, frescos o refrigerados","Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados. > Sin trocear, frescos o refrigerados",02,10
